time,site,ip,hop_num,min_rtt,avg_rtt,max_rtt
2021-04-21 22:22:22.497313+00:00,github.com,96.120.88.185,2,14.336,23.188,41.639
2021-04-21 22:22:22.497604+00:00,github.com,96.110.177.73,3,13.152,16.395,20.537
2021-04-21 22:22:22.497780+00:00,github.com,69.139.199.197,4,12.515,14.65,20.82
2021-04-21 22:22:22.497948+00:00,github.com,96.110.41.125,5,13.564,15.33,17.715
2021-04-21 22:22:22.498113+00:00,github.com,96.110.33.94,6,13.531,20.455,36.784
2021-04-21 22:22:22.498275+00:00,github.com,50.208.233.210,7,13.081,15.949,18.851
2021-04-21 22:22:22.498437+00:00,github.com,62.115.115.217,8,15.622,19.505,24.552
2021-04-21 22:22:22.498597+00:00,github.com,62.115.118.168,9,33.259,34.954,38.656
2021-04-21 22:22:22.498756+00:00,github.com,62.115.175.97,10,31.998,35.657,40.87
2021-04-21 22:22:22.498916+00:00,github.com,192.30.255.113,14,31.334,35.722,42.278
2021-04-21 22:22:28.302035+00:00,realpython.com,10.0.0.1,1,2.389,2.71,3.105
2021-04-21 22:22:28.302454+00:00,realpython.com,96.120.88.185,2,11.745,15.72,23.62
2021-04-21 22:22:28.302749+00:00,realpython.com,96.110.177.73,3,12.543,17.34,27.73
2021-04-21 22:22:28.302929+00:00,realpython.com,69.139.199.197,4,11.784,15.976,21.687
2021-04-21 22:22:28.303105+00:00,realpython.com,96.110.41.125,5,12.692,18.711,41.564
2021-04-21 22:22:28.303276+00:00,realpython.com,96.110.46.42,6,13.123,14.594,16.612
2021-04-21 22:22:28.303444+00:00,realpython.com,96.110.37.174,7,15.009,17.318,22.171
2021-04-21 22:22:28.303608+00:00,realpython.com,68.86.88.18,8,13.762,16.866,22.878
2021-04-21 22:22:28.303773+00:00,realpython.com,66.208.228.6,9,14.368,27.041,40.937
2021-04-21 22:22:28.303938+00:00,realpython.com,104.22.16.171,10,11.723,14.822,22.604
2021-04-21 22:22:43.425850+00:00,medium.com,10.0.0.1,1,2.497,3.491,4.261
2021-04-21 22:22:43.426126+00:00,medium.com,96.120.88.185,2,11.51,12.341,13.068
2021-04-21 22:22:43.426319+00:00,medium.com,96.110.177.73,3,12.067,15.881,21.812
2021-04-21 22:22:43.426569+00:00,medium.com,69.139.199.197,4,12.92,14.7,19.264
2021-04-21 22:22:43.426795+00:00,medium.com,96.110.41.121,5,13.454,17.139,21.879
2021-04-21 22:22:43.426996+00:00,medium.com,96.110.46.30,6,11.986,17.48,22.974
2021-04-21 22:22:43.427145+00:00,medium.com,96.110.37.174,7,14.97,22.144,31.906
2021-04-21 22:22:43.427318+00:00,medium.com,96.110.38.89,8,22.169,32.668,48.311
2021-04-21 22:22:43.427487+00:00,medium.com,96.110.45.169,9,24.279,34.659,46.464
2021-04-21 22:22:43.427653+00:00,medium.com,96.110.33.54,10,21.559,23.059,26.84
2021-04-21 22:22:43.427819+00:00,medium.com,50.242.151.226,11,21.879,25.7,37.998
2021-04-21 22:22:43.427982+00:00,medium.com,162.159.153.4,12,21.144,25.266,38.028
2021-04-21 22:22:49.559383+00:00,docs.python.org,10.0.0.1,1,1.52,3.075,4.441
2021-04-21 22:22:49.559801+00:00,docs.python.org,96.120.88.185,2,13.459,18.649,35.935
2021-04-21 22:22:49.560094+00:00,docs.python.org,96.110.177.73,3,12.594,17.991,28.798
2021-04-21 22:22:49.560276+00:00,docs.python.org,69.139.199.197,4,12.15,16.855,30.895
2021-04-21 22:22:49.560448+00:00,docs.python.org,96.110.41.125,5,12.476,17.763,30.637
2021-04-21 22:22:49.560618+00:00,docs.python.org,96.110.46.42,6,13.233,19.426,23.794
